variant,medianReturnTrain,meanReturnTrain,positiveYearsTrain,medianDDTrain,medianSharpeTrain,medianPFTrain,worstYearTrain,robustScore,selectedFor2026Test
be1_trail1.5_opposite,0.7272,0.3685333333333333,3,4.01955,0.1752,0.9411,-3.5135,0.22577499999999998,True
be1_opposite,0.47509999999999997,0.2068833333333334,3,4.01955,0.11635000000000001,0.9411,-2.9151,-0.04692250000000006,False
core2_be1,-0.246,-0.31401666666666667,3,3.8853,-0.02345,0.8613,-2.198,-0.8020725000000001,False
static_tp_sl,-0.03265000000000001,-0.4792666666666667,3,5.2494499999999995,0.014800000000000008,0.9350499999999999,-3.8622,-0.8371025000000001,False
be1_trail1.5R_ATR1.5,-0.31579999999999997,-0.05584999999999981,3,4.3398,-0.03180000000000002,0.98725,-5.508,-0.9468025000000001,False
opposite_signal,-0.3222,-0.3244000000000001,3,4.43435,-0.03855,0.83955,-1.9628,-0.99663,False
be1_trail2R_ATR1.5,-0.2830999999999999,-0.6217999999999999,3,4.8079,-0.03805,0.9913000000000001,-5.1889,-1.0093025,False
core2_be1_trail1.5,-0.5085500000000001,-0.26376666666666665,3,3.8853,-0.08120000000000001,0.82785,-2.198,-1.0898525000000001,False
macd_be1,-0.55465,0.2891833333333334,3,3.7161,-0.09519999999999998,0.92525,-2.8559,-1.0924025,False
be_1.00R,-0.5132,-0.47379999999999994,3,4.8079,-0.08245000000000002,0.9741500000000001,-5.1889,-1.257515,False
be_0.75R,-0.52445,-0.4280333333333333,3,4.8648,-0.0953,0.94455,-4.1625,-1.2890825,False
invalidate_sma50,-0.7394499999999999,-0.5403166666666667,2,3.9536499999999997,-0.1169,0.8046,-2.2351,-1.3837383333333333,False
invalidate_macd,-0.8356,0.19553333333333336,2,3.7161,-0.15255,0.8964000000000001,-2.8559,-1.4310858333333332,False
invalidate_core2,-0.8751,-0.6369833333333333,2,3.7028,-0.1396,0.8269500000000001,-2.3438,-1.4738108333333335,False
invalidate_rsi50,-1.0972,-0.7757999999999999,2,3.7925500000000003,-0.19875,0.82465,-2.7055,-1.7349083333333335,False
be_1.25R,-1.6254,-1.7149333333333334,3,4.9605999999999995,-0.3033,0.7755000000000001,-5.1889,-2.5073499999999997,False
